"Car Service","","","","","","",""
"Transaction","Expense","Business","Vendor","Payment","Amount","Cost","Project"
"Date","Type","Purpose","Description","Type","","Center",""
"","","","","American","","",""
"","","","","","","","4001-"
"","","Work","","Express","","CONS-",""
"","","","","","","","Consumer"
"02/04/2026","Car Service","Late/Office-","UBER","Corporate","$49.97","Consumer",""
"","","","","","","","Products"
"","","Home","","Card","","Team",""
"","","","","","","","New Bus"
"","","","","CBCP","","",""
"","","Attendees : Christopher Brown, Employee","","","","",""
"","","","","American","","",""
"","","","","","","","4001-"
"","","Work","","Express","","CONS-",""
"","","","","","","","Consumer"
"02/03/2026","Car Service","Late/Office-","UBER","Corporate","$50.98","Consumer",""
