"","","","","","","Products"
"","","Home","","Card","","Team"
"","","","","","","New Bus"
"","","","","CBCP","",""
"","","Attendees : Christopher Brown, Employee","","","",""
"","","","","American","",""
"","","","","","","4001-"
"","","Work","","Express","","CONS-"
"","","","","","","Consumer"
"01/30/2026","Car Service","Late/Office-","UBER","Corporate","$101.13","Consumer"
"","","","","","","Products"
"","","Home","","Card","","Team"
"","","","","","","New Bus"
"","","","","CBCP","",""
"","","Attendees : Christopher Brown, Employee","","","",""
"","","","","American","",""
"","","","","","","4001-"
"","","Work","","Express","","CONS-"
"","","","","","","Consumer"
"01/28/2026","Car Service","Late/Office-","UBER","Corporate","$85.59","Consumer"
"","","","","","","Products"
"","","Home","","Card","","Team"
"","","","","","","New Bus"
"","","","","CBCP","",""
"","","Attendees : Christopher Brown, Employee","","","",""
"","","","","American","",""
"","","","","","","4001-"
"","","Work","","Express","","CONS-"
"","","","","","","Consumer"
"01/23/2026","Car Service","Late/Office-","UBER","Corporate","$52.48","Consumer"
"","","","","","","Products"
"","","Home","","Card","","Team"
"","","","","","","New Bus"
"","","","","CBCP","",""
"","","Attendees : Christopher Brown, Employee","","","",""
"","","","","American","",""
"","","","","","","4001-"
"","","Work","","Express","","CONS-"
"","","","","","","Consumer"
"01/22/2026","Car Service","Late/Office-","UBER","Corporate","$52.35","Consumer"
"","","","","","","Products"
"","","Home","","Card","","Team"
"","","","","","","New Bus"
"","","","","CBCP","",""
"","","Attendees : Christopher Brown, Employee","","","",""
"","","","","American","",""
"","","","","","","4001-"
"","","Work","","Express","","CONS-"
"","","","","","","Consumer"
"01/21/2026","Car Service","Late/Office-","UBER","Corporate","$51.46","Consumer"
"","","","","","","Products"
"","","Home","","Card","","Team"
"","","","","","","New Bus"
"","","","","CBCP","",""
"","","Attendees : Christopher Brown, Employee","","","",""
"","","","","American","",""
"","","","","","","4001-"
"","","Work","","Express","","CONS-"
"","","","","","","Consumer"
"01/16/2026","Car Service","Late/Office-","UBER","Corporate","$55.97","Consumer"
"","","","","","","Products"
"","","Home","","Card","","Team"
"","","","","","","New Bus"
"","","","","CBCP","",""
"","","Attendees : Christopher Brown, Employee","","","",""
"","","","","American","",""
"","","","","","","4001-"
"","","Work","","Express","","CONS-"
"","","","","","","Consumer"
"01/15/2026","Car Service","Late/Office-","UBER","Corporate","$50.90","Consumer"
"","","","","","","Products"
"","","Home","","Card","","Team"
"","","","","","","New Bus"
"","","","","CBCP","",""
"","","Attendees : Christopher Brown, Employee","","","",""
"","","","","American","",""
"","","","","","","4001-"
"","","Work","","Express","","CONS-"
"","","","","","","Consumer"
"01/14/2026","Car Service","Late/Office-","UBER","Corporate","$53.00","Consumer"
"","","","","","","Products"
"","","Home","","Card","","Team"
